symbol,date,open,close,high,low,volume
AAPL,2022-03-14,151.45,150.62,154.12,150.1,108712111.0
AAPL,2022-03-15,150.9,155.09,155.57,150.38,92964302.0
AAPL,2022-03-16,157.05,159.59,160,154.46,102300157.0
AAPL,2022-03-17,158.61,160.62,161,157.63,75615376.0
AAPL,2022-03-18,160.51,163.98,164.48,159.76,122610172.0
AAPL,2022-03-21,163.51,165.38,166.35,163.015,95811352.0
AAPL,2022-03-22,165.51,168.82,169.42,164.91,81532007.0
AAPL,2022-03-23,167.99,170.21,172.64,167.65,98062674.0
AAPL,2022-03-24,171.06,174.07,174.14,170.21,90131418.0
AAPL,2022-03-25,173.88,174.72,175.28,172.75,80529356.0
AAPL,2022-03-28,172.17,175.6,175.73,172,90371916.0
AAPL,2022-03-29,176.69,178.96,179.01,176.34,99459940.0
AAPL,2022-03-30,178.55,177.77,179.61,176.7,91340654.0
AAPL,2022-03-31,177.84,174.61,178.03,174.4,103049285.0
AAPL,2022-04-01,174.03,174.31,174.88,171.94,78251328.0
AAPL,2022-04-04,174.57,178.44,178.49,174.44,76545983.0
AAPL,2022-04-05,177.5,175.06,178.3,174.415,73401786.0
AAPL,2022-04-06,172.36,171.83,173.63,170.13,89058782.0
AAPL,2022-04-07,171.16,172.14,173.36,169.85,77594650.0
AAPL,2022-04-08,171.78,170.09,171.78,169.2,76534208.0
AAPL,2022-04-11,168.71,165.75,169.03,165.5,72246706.0
AAPL,2022-04-12,168.02,167.66,169.87,166.64,79265181.0
AAPL,2022-04-13,167.39,170.4,171.04,166.77,70618925.0
AAPL,2022-04-14,170.62,165.29,171.27,165.04,75069376.0
AAPL,2022-04-18,163.92,165.07,166.5984,163.57,69023941.0
AAPL,2022-04-19,165.02,167.4,167.82,163.91,67723833.0
AAPL,2022-04-20,168.76,167.23,168.88,166.1,67929814.0
AAPL,2022-04-21,168.91,166.42,171.53,165.91,87227768.0
AAPL,2022-04-22,166.46,161.79,167.8699,161.5,84875424.0
AAPL,2022-04-25,161.12,162.88,163.17,158.46,96017376.0
AAPL,2022-04-26,162.25,156.8,162.34,156.72,95595226.0
AAPL,2022-04-27,155.91,156.57,159.79,155.38,88063191.0
AAPL,2022-04-28,159.25,163.64,164.515,158.93,130149192.0
AAPL,2022-04-29,161.84,157.65,166.2,157.25,131747495.0
AAPL,2022-05-02,156.71,157.96,158.23,153.27,123050000.0
AAPL,2022-05-03,158.15,159.48,160.71,156.32,88966526.0
AAPL,2022-05-04,159.67,166.02,166.48,159.26,108206503.0
AAPL,2022-05-05,163.85,156.77,164.08,154.95,130419230.0
AAPL,2022-05-06,156.01,157.28,159.44,154.18,115494647.0
AAPL,2022-05-09,154.925,152.06,155.83,151.49,131577921.0
AAPL,2022-05-10,155.52,154.51,156.74,152.93,115366736.0
AAPL,2022-05-11,153.5,146.5,155.45,145.81,142547625.0
AAPL,2022-05-12,142.77,142.56,146.2,138.8,182408091.0
AAPL,2022-05-13,144.59,147.11,148.105,143.11,113990852.0
AAPL,2022-05-16,145.55,145.54,147.5199,144.18,86643781.0
AAPL,2022-05-17,148.86,149.24,149.77,146.68,78138254.0
AAPL,2022-05-18,146.85,140.82,147.3601,139.9,109742890.0
AAPL,2022-05-19,139.88,137.35,141.66,136.6,135863540.0
AAPL,2022-05-20,139.09,137.59,140.7,132.61,137392625.0
AAPL,2022-05-23,137.79,143.11,143.26,137.65,117726265.0
AAPL,2022-05-24,140.805,140.36,141.97,137.33,104132746.0
AAPL,2022-05-25,138.43,140.52,141.785,138.34,92482696.0
AAPL,2022-05-26,137.39,143.78,144.34,137.14,90601098.0
AAPL,2022-05-27,145.39,149.64,149.68,145.26,91425110.0
AAPL,2022-05-31,149.07,148.84,150.66,146.84,103718416.0
AAPL,2022-06-01,149.9,148.71,151.74,147.68,74286635.0
AAPL,2022-06-02,147.83,151.21,151.27,146.86,72348055.0
AAPL,2022-06-03,146.9,145.38,147.97,144.46,88570289.0
AAPL,2022-06-06,147.03,146.14,148.5689,144.9,71598380.0
AAPL,2022-06-07,144.345,148.71,149,144.1,67808150.0
AAPL,2022-06-08,148.58,147.96,149.8697,147.46,53950201.0
AAPL,2022-06-09,147.08,142.64,147.95,142.53,69472976.0
AAPL,2022-06-10,140.28,137.13,140.76,137.06,91566637.0
AAPL,2022-06-13,132.87,131.88,135.2,131.44,122128099.0
AAPL,2022-06-14,133.13,132.76,133.89,131.48,84784326.0
AAPL,2022-06-15,134.29,135.43,137.34,132.16,91532972.0
AAPL,2022-06-16,132.08,130.06,132.39,129.04,107961508.0
AAPL,2022-06-17,130.065,131.56,133.079,129.81,134520290.0
AAPL,2022-06-21,133.42,135.87,137.06,133.32,81000488.0
AAPL,2022-06-22,134.79,135.35,137.76,133.91,73409234.0
AAPL,2022-06-23,136.82,138.27,138.59,135.63,72433768.0
AAPL,2022-06-24,139.9,141.66,141.91,139.77,88401837.0
AAPL,2022-06-27,142.695,141.66,143.49,140.965,70207908.0
AAPL,2022-06-28,142.13,137.44,143.422,137.325,67315328.0
AAPL,2022-06-29,137.46,139.23,140.67,136.67,66242411.0
AAPL,2022-06-30,137.25,136.72,138.37,133.7737,98964467.0
AAPL,2022-07-01,136.04,138.93,139.04,135.66,71051552.0
AAPL,2022-07-05,137.77,141.56,141.61,136.93,73429641.0
AAPL,2022-07-06,141.355,142.92,144.12,141.08,74064254.0
AAPL,2022-07-07,143.29,146.35,146.55,143.28,66253709.0
AAPL,2022-07-08,145.265,147.04,147.55,145,64543598.0
AAPL,2022-07-11,145.67,144.87,146.64,143.78,63305113.0
AAPL,2022-07-12,145.76,145.86,148.45,145.05,77588759.0
AAPL,2022-07-13,142.99,145.49,146.45,142.1201,71185560.0
AAPL,2022-07-14,144.08,148.47,148.95,143.25,78140744.0
AAPL,2022-07-15,149.78,150.17,150.86,148.2,76259931.0
AAPL,2022-07-18,150.74,147.07,151.57,146.7,81380868.0
AAPL,2022-07-19,147.92,151,151.23,146.91,82969067.0
AAPL,2022-07-20,151.12,153.04,153.72,150.37,64823413.0
AAPL,2022-07-21,154.5,155.35,155.57,151.94,65064436.0
AAPL,2022-07-22,155.39,154.09,156.28,153.41,66675373.0
AAPL,2022-07-25,154.01,152.95,155.04,152.28,53580745.0
AAPL,2022-07-26,152.265,151.6,153.085,150.8,55099091.0
AAPL,2022-07-27,152.58,156.79,157.33,152.16,78620688.0
AAPL,2022-07-28,156.98,157.35,157.64,154.41,81378731.0
AAPL,2022-07-29,161.24,162.51,163.63,159.5,101763760.0
AAPL,2022-08-01,161.01,161.51,163.59,160.89,67778379.0
AAPL,2022-08-02,160.1,160.01,162.41,159.63,59907025.0
AAPL,2022-08-03,160.84,166.13,166.59,160.75,82507488.0
AAPL,2022-08-04,166.005,165.81,167.19,164.43,55474144.0
AAPL,2022-08-05,163.21,165.35,165.85,163,56696985.0
AAPL,2022-08-08,166.37,164.87,167.81,164.2,60362338.0
AAPL,2022-08-09,164.02,164.92,165.82,163.25,63075503.0
AAPL,2022-08-10,167.68,169.24,169.34,166.9,70170540.0
AAPL,2022-08-11,170.06,168.49,170.99,168.19,57142109.0
AAPL,2022-08-12,169.82,172.1,172.17,169.4,68039382.0
AAPL,2022-08-15,171.52,173.19,173.39,171.345,54091694.0
AAPL,2022-08-16,172.78,173.03,173.71,171.6618,56377050.0
AAPL,2022-08-17,172.77,174.55,176.15,172.57,79542037.0
AAPL,2022-08-18,173.75,174.15,174.9,173.12,62290075.0
AAPL,2022-08-19,173.03,171.52,173.74,171.3101,70336995.0
AAPL,2022-08-22,169.69,167.57,169.86,167.135,68975809.0
AAPL,2022-08-23,167.08,167.23,168.71,166.65,54147079.0
AAPL,2022-08-24,167.32,167.53,168.11,166.245,53841524.0
AAPL,2022-08-25,168.78,170.03,170.14,168.35,51218209.0
AAPL,2022-08-26,170.57,163.62,171.05,163.56,78960980.0
AAPL,2022-08-29,161.145,161.38,162.9,159.82,73313953.0
AAPL,2022-08-30,162.13,158.91,162.56,157.72,77906197.0
AAPL,2022-08-31,160.305,157.22,160.58,157.14,87991091.0
AAPL,2022-09-01,156.64,157.96,158.42,154.67,74229896.0
AAPL,2022-09-02,159.75,155.81,160.362,154.965,76807768.0
AAPL,2022-09-06,156.47,154.53,157.09,153.69,73714843.0
AAPL,2022-09-07,154.825,155.96,156.67,153.61,87293824.0
AAPL,2022-09-08,154.64,154.46,156.36,152.68,84909447.0
AAPL,2022-09-09,155.47,157.37,157.82,154.75,68081006.0
AAPL,2022-09-12,159.59,163.43,164.26,159.3,104955962.0
AAPL,2022-09-13,159.9,153.84,160.54,153.37,122651554.0
AAPL,2022-09-14,154.785,155.31,157.1,153.6106,87935409.0
AAPL,2022-09-15,154.65,152.37,155.24,151.38,90481110.0
AAPL,2022-09-16,151.21,150.7,151.35,148.37,160940131.0
AAPL,2022-09-19,149.31,154.48,154.56,149.1,81474246.0
AAPL,2022-09-20,153.4,156.9,158.08,153.08,107639796.0
AAPL,2022-09-21,157.34,153.72,158.74,153.6,101696790.0
AAPL,2022-09-22,152.38,152.74,154.47,150.91,86652542.0
AAPL,2022-09-23,151.19,150.43,151.47,148.56,96029909.0
AAPL,2022-09-26,149.66,150.77,153.7701,149.64,93339409.0
AAPL,2022-09-27,152.74,151.76,154.72,149.945,84282741.0
AAPL,2022-09-28,147.64,149.84,150.6414,144.84,146661387.0
AAPL,2022-09-29,146.1,142.48,146.72,140.68,128138237.0
AAPL,2022-09-30,141.28,138.2,143.1,138,124910274.0
AAPL,2022-10-03,138.21,142.45,143.07,137.685,114311663.0
AAPL,2022-10-04,145.03,146.1,146.22,144.26,87780064.0
AAPL,2022-10-05,144.075,146.4,147.38,143.01,79269968.0
AAPL,2022-10-06,145.81,145.43,147.54,145.22,68308669.0
AAPL,2022-10-07,142.54,140.09,143.1,139.445,85925559.0
AAPL,2022-10-10,140.42,140.42,141.89,138.5729,74899002.0
AAPL,2022-10-11,139.9,138.98,141.35,138.22,77001872.0
AAPL,2022-10-12,139.13,138.34,140.36,138.16,69933744.0
AAPL,2022-10-13,134.99,142.99,143.59,134.37,113223975.0
AAPL,2022-10-14,144.31,138.38,144.52,138.19,88597969.0
AAPL,2022-10-17,141.065,142.41,142.9,140.27,85250639.0
AAPL,2022-10-18,145.49,143.75,146.7,140.61,99130632.0
AAPL,2022-10-19,141.69,143.86,144.9492,141.5,61757790.0
AAPL,2022-10-20,143.02,143.39,145.89,142.65,64521989.0
AAPL,2022-10-21,142.87,147.27,147.8479,142.649,86548459.0
AAPL,2022-10-24,147.185,149.45,150.23,146,75981918.0
AAPL,2022-10-25,150.09,152.34,152.49,149.36,74682290.0
AAPL,2022-10-26,150.96,149.35,151.99,148.04,87883672.0
AAPL,2022-10-27,148.07,144.8,149.046,144.13,109161970.0
AAPL,2022-10-28,148.2,155.74,157.5,147.82,164762371.0
AAPL,2022-10-31,153.155,153.34,154.24,151.92,97932271.0
AAPL,2022-11-01,155.08,150.65,155.45,149.13,80379345.0
AAPL,2022-11-02,148.945,145.03,152.17,145,93604623.0
AAPL,2022-11-03,142.06,138.88,142.8,138.75,97917166.0
AAPL,2022-11-04,142.09,138.38,142.67,134.38,140494796.0
AAPL,2022-11-07,137.11,138.92,139.145,135.671,83364228.0
AAPL,2022-11-08,140.41,139.5,141.43,137.49,89908477.0
AAPL,2022-11-09,138.5,134.87,138.55,134.5933,74903262.0
AAPL,2022-11-10,141.24,146.87,146.87,139.5,118854028.0
AAPL,2022-11-11,145.82,149.7,150.01,144.37,93966273.0
AAPL,2022-11-14,148.97,148.28,150.28,147.43,73374114.0
AAPL,2022-11-15,152.215,150.04,153.59,148.5613,89868332.0
AAPL,2022-11-16,149.13,148.79,149.87,147.29,64218266.0
AAPL,2022-11-17,146.43,150.72,151.48,146.15,80389400.0
AAPL,2022-11-18,152.305,151.29,152.7,149.97,74829573.0
AAPL,2022-11-21,150.16,148.01,150.37,147.715,58724070.0
AAPL,2022-11-22,148.13,150.18,150.42,146.925,51804132.0
AAPL,2022-11-23,149.45,151.07,151.83,149.34,58283895.0
AAPL,2022-11-25,148.305,148.11,148.88,147.12,35195860.0
AAPL,2022-11-28,145.14,144.22,146.64,143.38,69346522.0
AAPL,2022-11-29,144.29,141.17,144.81,140.355,83736803.0
AAPL,2022-11-30,141.395,148.03,148.72,140.55,111314880.0
AAPL,2022-12-01,148.21,148.31,149.13,146.61,71250416.0
AAPL,2022-12-02,145.96,147.81,148,145.65,65438446.0
AAPL,2022-12-05,147.77,146.63,150.9199,145.77,68826442.0
AAPL,2022-12-06,147.075,142.91,147.3,141.92,64727186.0
AAPL,2022-12-07,142.19,140.94,143.37,140,69721094.0
AAPL,2022-12-08,142.36,142.65,143.52,141.1,62128338.0
AAPL,2022-12-09,142.34,142.16,145.57,140.9,76084511.0
AAPL,2022-12-12,142.7,144.49,144.5,141.06,70462654.0
AAPL,2022-12-13,149.5,145.47,149.9692,144.24,93486161.0
AAPL,2022-12-14,145.35,143.21,146.655,141.16,82211182.0
AAPL,2022-12-15,141.11,136.5,141.8,136.025,98463907.0
AAPL,2022-12-16,136.685,134.51,137.65,133.73,160063600.0
AAPL,2022-12-19,135.11,132.37,135.2,131.32,79592614.0
AAPL,2022-12-20,131.39,132.3,133.25,129.89,77430718.0
AAPL,2022-12-21,132.98,135.45,136.81,132.75,85927993.0
AAPL,2022-12-22,134.352,132.23,134.56,130.3,77696108.0
